date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:31:53	2282/2282	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Dec%202020%2003:01:52%20GMT	https://mlcz7f5by3zx.i.optimole.com/19e9sCE-3JoyqtXc/w:294/h:121/q:auto/https://shopbilling.in/wp-content/uploads/2020/06/Capture2-1.png	C:/My%20Web%20Sites/Shopbilling.in/mlcz7f5by3zx.i.optimole.com/19e9sCE-3JoyqtXc/w_294/h_121/q_auto/https_/shopbilling.in/wp-content/uploads/2020/06/Capture2-1.png	(from https://shopbilling.in/)
08:31:53	402/402	---M-Z	200	added ('OK')	image/svg+xml	etag:34abfa580509f420089f356e14f33523	https://mlcz7f5by3zx.i.optimole.com/19e9sCE-36pV1D5y/w:257/h:95/q:eco/https://shopbilling.in/wp-content/uploads/2020/06/Capture3-opti.png	C:/My%20Web%20Sites/Shopbilling.in/mlcz7f5by3zx.i.optimole.com/19e9sCE-36pV1D5y/w_257/h_95/q_eco/https_/shopbilling.in/wp-content/uploads/2020/06/Capture3-opti.svg	(from https://shopbilling.in/)
08:31:55	1258/1258	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Dec%202020%2003:01:54%20GMT	https://mlcz7f5by3zx.i.optimole.com/19e9sCE-36pV1D5y/w:257/h:95/q:auto/https://shopbilling.in/wp-content/uploads/2020/06/Capture3-opti.png	C:/My%20Web%20Sites/Shopbilling.in/mlcz7f5by3zx.i.optimole.com/19e9sCE-36pV1D5y/w_257/h_95/q_auto/https_/shopbilling.in/wp-content/uploads/2020/06/Capture3-opti.png	(from https://shopbilling.in/)
08:31:55	402/402	---M-Z	200	added ('OK')	image/svg+xml	etag:83787577d14ffa33ee578754e57738e0	https://mlcz7f5by3zx.i.optimole.com/19e9sCE-dHCmABEV/w:256/h:96/q:eco/https://shopbilling.in/wp-content/uploads/2020/06/Capture4-offer-opti.png	C:/My%20Web%20Sites/Shopbilling.in/mlcz7f5by3zx.i.optimole.com/19e9sCE-dHCmABEV/w_256/h_96/q_eco/https_/shopbilling.in/wp-content/uploads/2020/06/Capture4-offer-opti.svg	(from https://shopbilling.in/)
08:31:56	83389/83389	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Dec%202020%2003:01:56%20GMT	https://shopbilling.in/about-us/	C:/My%20Web%20Sites/Shopbilling.in/shopbilling.in/about-us/index.html	(from https://shopbilling.in/)
08:31:56	1869/1869	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Dec%202020%2003:01:56%20GMT	https://mlcz7f5by3zx.i.optimole.com/19e9sCE-dHCmABEV/w:256/h:96/q:auto/https://shopbilling.in/wp-content/uploads/2020/06/Capture4-offer-opti.png	C:/My%20Web%20Sites/Shopbilling.in/mlcz7f5by3zx.i.optimole.com/19e9sCE-dHCmABEV/w_256/h_96/q_auto/https_/shopbilling.in/wp-content/uploads/2020/06/Capture4-offer-opti.png	(from https://shopbilling.in/)
08:31:57	80832/80832	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Dec%202020%2003:01:56%20GMT	https://shopbilling.in/contact-us/	C:/My%20Web%20Sites/Shopbilling.in/shopbilling.in/contact-us/index.html	(from https://shopbilling.in/)
08:32:00	52598/52598	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Dec%202020%2003:02:00%20GMT	https://shopbilling.in/style.css	C:/My%20Web%20Sites/Shopbilling.in/shopbilling.in/style.css	(from https://shopbilling.in/)
08:32:00	45714/45714	---MCZ	200	added ('OK')	application/javascript	etag:%2246b4781d5c3d5506c810d9f3e61e8df3%22	https://cdn.razorpay.com/static/widget/payment-button.js	C:/My%20Web%20Sites/Shopbilling.in/cdn.razorpay.com/static/widget/payment-button.js	(from https://shopbilling.in/)
08:32:01	419/419	---M-Z	200	added ('OK')	image/svg+xml	etag:82c8f6c4de326745dabe20aac2e55c86	https://mlcz7f5by3zx.i.optimole.com/19e9sCE-h3ZBDm5_/w:auto/h:auto/q:eco/https://shopbilling.in/wp-content/uploads/elementor/thumbs/logo-oqy71w2m3ekyo25i69wxvieqy75w44mmkkoxufv2eo.png	C:/My%20Web%20Sites/Shopbilling.in/mlcz7f5by3zx.i.optimole.com/19e9sCE-h3ZBDm5_/w_auto/h_auto/q_eco/https_/shopbilling.in/wp-content/uploads/elementor/thumbs/logo-oqy71w2m3ekyo25i69wxvieqy75w44mmkkoxufv2eo.svg	(from https://shopbilling.in/)
08:32:02	5622/5622	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Dec%202020%2003:02:02%20GMT	https://mlcz7f5by3zx.i.optimole.com/19e9sCE-h3ZBDm5_/w:auto/h:auto/q:auto/https://shopbilling.in/wp-content/uploads/elementor/thumbs/logo-oqy71w2m3ekyo25i69wxvieqy75w44mmkkoxufv2eo.png	C:/My%20Web%20Sites/Shopbilling.in/mlcz7f5by3zx.i.optimole.com/19e9sCE-h3ZBDm5_/w_auto/h_auto/q_auto/https_/shopbilling.in/wp-content/uploads/elementor/thumbs/logo-oqy71w2m3ekyo25i69wxvieqy75w44mmkkoxufv2eo.png	(from https://shopbilling.in/)
08:32:03	420/420	---M-Z	200	added ('OK')	image/svg+xml	etag:6c2ad53a8c13c5a7ae005d24cfac729e	https://mlcz7f5by3zx.i.optimole.com/19e9sCE-0X5CoWZ8/w:auto/h:auto/q:eco/https://shopbilling.in/wp-content/uploads/elementor/thumbs/partnerlogo-2-1-orauy4071boaeghjc1q5ng0dtjf2g707diud6ratlo.png	C:/My%20Web%20Sites/Shopbilling.in/mlcz7f5by3zx.i.optimole.com/19e9sCE-0X5CoWZ8/w_auto/h_auto/q_eco/https_/shopbilling.in/wp-content/uploads/elementor/thumbs/partnerlogo-2-1-orauy4071boaeghjc1q5ng0dtjf2g707diud6ratlo.svg	(from https://shopbilling.in/)
08:32:03	5334/5334	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Dec%202020%2003:02:03%20GMT	https://mlcz7f5by3zx.i.optimole.com/19e9sCE-0X5CoWZ8/w:auto/h:auto/q:auto/https://shopbilling.in/wp-content/uploads/elementor/thumbs/partnerlogo-2-1-orauy4071boaeghjc1q5ng0dtjf2g707diud6ratlo.png	C:/My%20Web%20Sites/Shopbilling.in/mlcz7f5by3zx.i.optimole.com/19e9sCE-0X5CoWZ8/w_auto/h_auto/q_auto/https_/shopbilling.in/wp-content/uploads/elementor/thumbs/partnerlogo-2-1-orauy4071boaeghjc1q5ng0dtjf2g707diud6ratlo.png	(from https://shopbilling.in/)
08:32:04	419/419	---M-Z	200	added ('OK')	image/svg+xml	etag:d25760ba893a56600870ea85b788760d	https://mlcz7f5by3zx.i.optimole.com/19e9sCE-dfu-Zxx4/w:auto/h:auto/q:eco/https://shopbilling.in/wp-content/uploads/elementor/thumbs/mclogoopti-orbwplwrr0q2exqotp4tydow42mncg46aes523k5jy.png	C:/My%20Web%20Sites/Shopbilling.in/mlcz7f5by3zx.i.optimole.com/19e9sCE-dfu-Zxx4/w_auto/h_auto/q_eco/https_/shopbilling.in/wp-content/uploads/elementor/thumbs/mclogoopti-orbwplwrr0q2exqotp4tydow42mncg46aes523k5jy.svg	(from https://shopbilling.in/)
08:32:05	5414/5414	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Dec%202020%2003:02:04%20GMT	https://mlcz7f5by3zx.i.optimole.com/19e9sCE-dfu-Zxx4/w:auto/h:auto/q:auto/https://shopbilling.in/wp-content/uploads/elementor/thumbs/mclogoopti-orbwplwrr0q2exqotp4tydow42mncg46aes523k5jy.png	C:/My%20Web%20Sites/Shopbilling.in/mlcz7f5by3zx.i.optimole.com/19e9sCE-dfu-Zxx4/w_auto/h_auto/q_auto/https_/shopbilling.in/wp-content/uploads/elementor/thumbs/mclogoopti-orbwplwrr0q2exqotp4tydow42mncg46aes523k5jy.png	(from https://shopbilling.in/)
